Aggregate,Aggregate,Obesity,Obesity,Diabetes,Diabetes,Food Insecurity,Food Insecurity,Inactivity,Inactivity,Low Birthweight,Low Birthweight
Albemarle County,"['Albemarle County', 'Charlottesville City', 'Fluvanna County', 'Nelson County', 'Waynesboro City']",Albemarle County,"['Albemarle County', 'Charlottesville City', 'Fluvanna County', 'Nelson County', 'Waynesboro City']",Albemarle County,"['Albemarle County', 'Charlottesville City', 'Fluvanna County', 'Nelson County', 'Waynesboro City']",Albemarle County,"['Albemarle County', 'Charlottesville City', 'Fluvanna County', 'Nelson County', 'Waynesboro City']",Albemarle County,"['Albemarle County', 'Charlottesville City', 'Fluvanna County', 'Nelson County']",Albemarle County,"['Albemarle County', 'Charlottesville City', 'Fluvanna County', 'Nelson County', 'Waynesboro City']"
Amelia County,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']",Amelia County,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']",Amelia County,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']",Amelia County,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']",Amelia County,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']",Amelia County,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']"
Amherst County,"['Amherst County', 'Buckingham County']",Amherst County,"['Amherst County', 'Buckingham County']",Amherst County,"['Amherst County', 'Buckingham County']",Amherst County,"['Amherst County', 'Buckingham County']",Amherst County,"['Amherst County', 'Buckingham County']",Amherst County,"['Amherst County', 'Buckingham County']"
Arlington County,"['Alexandria City', 'Arlington County']",Arlington County,"['Alexandria City', 'Arlington County']",Arlington County,"['Alexandria City', 'Arlington County']",Arlington County,"['Alexandria City', 'Arlington County']",Arlington County,"['Alexandria City', 'Arlington County']",Arlington County,"['Alexandria City', 'Arlington County']"
Bedford County,['Bedford County'],Bedford County,['Bedford County'],Bedford County,['Bedford County'],Bedford County,['Bedford County'],Bedford County,['Bedford County'],Bedford County,['Bedford County']
Chesapeake City,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']",Chesapeake City,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']",Chesapeake City,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']",Chesapeake City,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']",Chesapeake City,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']",Chesapeake City,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']"
Fairfax County,"['Fairfax City', 'Fairfax County', 'Falls Church City', 'Manassas City', 'Manassas Park City', 'Prince William County']",Fairfax County,"['Fairfax City', 'Fairfax County', 'Falls Church City', 'Manassas City', 'Manassas Park City', 'Prince William County']",Fairfax County,"['Fairfax City', 'Fairfax County', 'Falls Church City', 'Manassas City', 'Manassas Park City', 'Prince William County']",Fairfax County,"['Fairfax City', 'Fairfax County', 'Falls Church City']",Fairfax County,"['Fairfax City', 'Fairfax County', 'Falls Church City', 'Manassas City', 'Manassas Park City', 'Prince William County']",Fairfax County,"['Fairfax City', 'Fairfax County', 'Falls Church City', 'Manassas City', 'Manassas Park City', 'Prince William County']"
Floyd County,"['Floyd County', 'Montgomery County']",Floyd County,"['Floyd County', 'Montgomery County']",Floyd County,"['Floyd County', 'Montgomery County']",Floyd County,"['Floyd County', 'Montgomery County']",Floyd County,"['Floyd County', 'Montgomery County']",Floyd County,"['Floyd County', 'Montgomery County']"
Franklin County,['Franklin County'],Franklin County,['Franklin County'],Franklin County,['Franklin County'],Franklin County,['Franklin County'],Franklin County,['Franklin County'],Franklin County,['Franklin County']
Gloucester County,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']",Gloucester County,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']",Gloucester County,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']",Gloucester County,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']",Gloucester County,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']",Gloucester County,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']"
Greensville County,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']",Greensville County,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']",Greensville County,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']",Greensville County,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']",Greensville County,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']",Greensville County,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']"
Henrico County,['Hanover County'],Henrico County,['Hanover County'],Henrico County,['Hanover County'],Henrico County,['Hanover County'],Henrico County,['Hanover County'],Henrico County,['Hanover County']
King George County,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']",King George County,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']",King George County,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']",King George County,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']",King George County,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']",King George County,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']"
Lancaster County,"['Lancaster County', 'Northumberland County', 'Richmond County']",Lancaster County,"['Lancaster County', 'Northumberland County', 'Richmond County']",Lancaster County,"['Lancaster County', 'Northumberland County', 'Richmond County']",Lancaster County,"['Lancaster County', 'Northumberland County', 'Richmond County']",Lancaster County,"['Lancaster County', 'Northumberland County', 'Richmond County']",Lancaster County,"['Lancaster County', 'Northumberland County', 'Richmond County']"
Lee County,"['Lee County', 'Norton City', 'Scott County', 'Wise County']",Lee County,"['Lee County', 'Norton City', 'Scott County', 'Wise County']",Lee County,"['Lee County', 'Norton City', 'Scott County', 'Wise County']",Lee County,"['Lee County', 'Norton City', 'Scott County', 'Wise County']",Lee County,"['Lee County', 'Norton City', 'Scott County', 'Wise County']",Lee County,"['Lee County', 'Norton City', 'Scott County', 'Wise County']"
Loudoun County,['Loudoun County'],Loudoun County,['Loudoun County'],Loudoun County,['Loudoun County'],Loudoun County,['Loudoun County'],Loudoun County,['Loudoun County'],Loudoun County,['Loudoun County']
Louisa County,['Louisa County'],Louisa County,['Louisa County'],Louisa County,['Louisa County'],Louisa County,['Louisa County'],Louisa County,['Louisa County'],Louisa County,['Louisa County']
Lynchburg City County,"['Appomattox County', 'Campbell County', 'Lynchburg City']",Lynchburg City County,"['Appomattox County', 'Campbell County', 'Lynchburg City']",Lynchburg City County,"['Appomattox County', 'Campbell County', 'Lynchburg City']",Lynchburg City County,"['Appomattox County', 'Campbell County', 'Lynchburg City']",Lynchburg City County,"['Appomattox County', 'Campbell County', 'Lynchburg City']",Lynchburg City County,"['Appomattox County', 'Campbell County', 'Lynchburg City']"
Mecklenburg County,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']",Mecklenburg County,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']",Mecklenburg County,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']",Mecklenburg County,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']",Mecklenburg County,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']",Mecklenburg County,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']"
Newport News City,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']",Newport News City,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']",Newport News City,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']",Newport News City,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']",Newport News City,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']",Newport News City,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']"
Newport News City North,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']",Newport News City North,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']",Newport News City North,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']",Newport News City North,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']",Newport News City North,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']",Newport News City North,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']"
Orange County,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']",Orange County,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']",Orange County,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']",Orange County,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']",Orange County,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']",Orange County,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']"
Patrick County,"['Henry County', 'Martinsville City', 'Patrick County']",Patrick County,"['Henry County', 'Martinsville City', 'Patrick County']",Patrick County,"['Henry County', 'Martinsville City', 'Patrick County']",Patrick County,"['Henry County', 'Martinsville City', 'Patrick County']",Patrick County,"['Henry County', 'Martinsville City', 'Patrick County']",Patrick County,"['Henry County', 'Martinsville City', 'Patrick County']"
Petersburg City,"['Dinwiddie County', 'Hopewell City', 'Petersburg City', 'Prince George County', 'Surry County']",Petersburg City,"['Dinwiddie County', 'Hopewell City', 'Petersburg City', 'Prince George County', 'Surry County']",Petersburg City,"['Dinwiddie County', 'Hopewell City', 'Petersburg City', 'Prince George County', 'Surry County']",Petersburg City,"['Dinwiddie County', 'Hopewell City', 'Petersburg City', 'Prince George County', 'Surry County']",Petersburg City,"['Dinwiddie County', 'Hopewell City', 'Petersburg City', 'Prince George County', 'Surry County']",Petersburg City,"['Dinwiddie County', 'Hopewell City', 'Petersburg City', 'Prince George County', 'Surry County']"
Pittsylvania County,"['Danville City', 'Halifax County', 'Pittsylvania County']",Pittsylvania County,"['Danville City', 'Halifax County', 'Pittsylvania County']",Pittsylvania County,"['Danville City', 'Halifax County', 'Pittsylvania County']",Pittsylvania County,"['Danville City', 'Halifax County', 'Pittsylvania County']",Pittsylvania County,"['Danville City', 'Halifax County', 'Pittsylvania County']",Pittsylvania County,"['Danville City', 'Halifax County', 'Pittsylvania County']"
Pulaski County,"['Bland County', 'Carroll County', 'Galax City', 'Giles County', 'Grayson County', 'Pulaski County', 'Radford City', 'Wythe County']",Pulaski County,"['Bland County', 'Carroll County', 'Galax City', 'Giles County', 'Grayson County', 'Pulaski County', 'Radford City', 'Wythe County']",Pulaski County,"['Bland County', 'Carroll County', 'Galax City', 'Giles County', 'Grayson County', 'Pulaski County', 'Radford City', 'Wythe County']",Pulaski County,"['Bland County', 'Carroll County', 'Galax City', 'Giles County', 'Grayson County', 'Pulaski County', 'Radford City', 'Wythe County']",Pulaski County,"['Bland County', 'Carroll County', 'Galax City', 'Giles County', 'Grayson County', 'Pulaski County', 'Radford City', 'Wythe County']",Pulaski County,"['Bland County', 'Carroll County', 'Galax City', 'Giles County', 'Grayson County', 'Pulaski County', 'Radford City', 'Wythe County']"
Richmond City,"['Chesterfield County', 'Colonial Heights City', 'Henrico County', 'King William County', 'Richmond City']",Richmond City,"['Chesterfield County', 'Colonial Heights City', 'Henrico County', 'King William County', 'Richmond City']",Richmond City,"['Chesterfield County', 'Colonial Heights City', 'Henrico County', 'King William County', 'Richmond City']",Richmond City,"['Chesterfield County', 'Colonial Heights City', 'Henrico County', 'King William County', 'Richmond City']",Richmond City,"['Chesterfield County', 'Colonial Heights City', 'Henrico County', 'King William County', 'Richmond City']",Richmond City,"['Chesterfield County', 'Colonial Heights City', 'Henrico County', 'King William County', 'Richmond City']"
Roanoke County,"['Alleghany County', 'Botetourt County', 'Covington City', 'Craig County', 'Roanoke City', 'Roanoke County', 'Salem City']",Roanoke County,"['Alleghany County', 'Botetourt County', 'Covington City', 'Craig County', 'Roanoke City', 'Roanoke County', 'Salem City']",Roanoke County,"['Alleghany County', 'Botetourt County', 'Covington City', 'Craig County', 'Roanoke City', 'Roanoke County', 'Salem City']",Roanoke County,"['Alleghany County', 'Botetourt County', 'Covington City', 'Craig County', 'Roanoke City', 'Roanoke County', 'Salem City']",Roanoke County,"['Alleghany County', 'Botetourt County', 'Covington City', 'Craig County', 'Roanoke City', 'Roanoke County', 'Salem City']",Roanoke County,"['Alleghany County', 'Botetourt County', 'Covington City', 'Craig County', 'Roanoke City', 'Roanoke County', 'Salem City']"
Rockbridge County,"['Bath County', 'Buena Vista City', 'Lexington City', 'Rockbridge County']",Rockbridge County,"['Bath County', 'Buena Vista City', 'Lexington City', 'Rockbridge County']",Rockbridge County,"['Bath County', 'Buena Vista City', 'Lexington City', 'Rockbridge County']",Rockbridge County,"['Bath County', 'Buena Vista City', 'Lexington City', 'Rockbridge County']",Rockbridge County,"['Bath County', 'Buena Vista City', 'Lexington City', 'Rockbridge County']",Rockbridge County,"['Bath County', 'Buena Vista City', 'Lexington City', 'Rockbridge County']"
Rockingham County,"['Augusta County', 'Harrisonburg City', 'Highland County', 'Rockingham County', 'Staunton City']",Rockingham County,"['Augusta County', 'Harrisonburg City', 'Highland County', 'Rockingham County', 'Staunton City']",Rockingham County,"['Augusta County', 'Harrisonburg City', 'Highland County', 'Rockingham County', 'Staunton City']",Rockingham County,"['Augusta County', 'Harrisonburg City', 'Highland County', 'Rockingham County', 'Staunton City']",Rockingham County,"['Harrisonburg City', 'Rockingham County']",Rockingham County,"['Augusta County', 'Harrisonburg City', 'Highland County', 'Rockingham County', 'Staunton City']"
Spotsylvania County,"['Fredericksburg City', 'Spotsylvania County', 'Stafford County']",Spotsylvania County,"['Fredericksburg City', 'Spotsylvania County', 'Stafford County']",Spotsylvania County,"['Fredericksburg City', 'Spotsylvania County', 'Stafford County']",Spotsylvania County,"['Fredericksburg City', 'Spotsylvania County', 'Stafford County']",Spotsylvania County,"['Fredericksburg City', 'Spotsylvania County', 'Stafford County']",Spotsylvania County,"['Fredericksburg City', 'Spotsylvania County', 'Stafford County']"
Virginia Beach City,['Virginia Beach City'],Virginia Beach City,['Virginia Beach City'],Virginia Beach City,['Virginia Beach City'],Virginia Beach City,['Virginia Beach City'],Virginia Beach City,['Virginia Beach City'],Virginia Beach City,['Virginia Beach City']
Virginia Beach City North,"['Accomack County', 'Norfolk City', 'Northampton County']",Virginia Beach City North,"['Accomack County', 'Norfolk City', 'Northampton County']",Virginia Beach City North,"['Accomack County', 'Norfolk City', 'Northampton County']",Virginia Beach City North,"['Accomack County', 'Norfolk City', 'Northampton County']",Virginia Beach City North,"['Accomack County', 'Norfolk City', 'Northampton County']",Virginia Beach City North,"['Accomack County', 'Norfolk City', 'Northampton County']"
Warren County,"['Fauquier County', 'Page County', 'Rappahannock County', 'Shenandoah County', 'Warren County']",Warren County,"['Fauquier County', 'Page County', 'Rappahannock County', 'Shenandoah County', 'Warren County']",Warren County,"['Fauquier County', 'Page County', 'Rappahannock County', 'Shenandoah County', 'Warren County']",Warren County,"['Clarke County', 'Fauquier County', 'Frederick County', 'Page County', 'Rappahannock County', 'Shenandoah County', 'Warren County', 'Winchester City']",Warren County,"['Clarke County', 'Fauquier County', 'Frederick County', 'Page County', 'Rappahannock County', 'Shenandoah County', 'Warren County', 'Winchester City']",Warren County,"['Fauquier County', 'Page County', 'Rappahannock County', 'Shenandoah County', 'Warren County']"
Washington County,"['Bristol City', 'Buchanan County', 'Dickenson County', 'Russell County', 'Smyth County', 'Tazewell County', 'Washington County']",Washington County,"['Bristol City', 'Buchanan County', 'Dickenson County', 'Russell County', 'Smyth County', 'Tazewell County', 'Washington County']",Washington County,"['Bristol City', 'Buchanan County', 'Dickenson County', 'Russell County', 'Smyth County', 'Tazewell County', 'Washington County']",Washington County,"['Bristol City', 'Buchanan County', 'Dickenson County', 'Russell County', 'Smyth County', 'Tazewell County', 'Washington County']",Washington County,"['Bristol City', 'Buchanan County', 'Dickenson County', 'Russell County', 'Smyth County', 'Tazewell County', 'Washington County']",Washington County,"['Bristol City', 'Buchanan County', 'Dickenson County', 'Russell County', 'Smyth County', 'Tazewell County', 'Washington County']"
Northeast District Office,"['Goochland County', 'Powhatan County']",Northeast District Office,"['Goochland County', 'Powhatan County']",Northeast District Office,"['Goochland County', 'Powhatan County']",Northeast District Office,"['Goochland County', 'Powhatan County']",Northeast District Office,"['Goochland County', 'Powhatan County']",Northeast District Office,"['Goochland County', 'Powhatan County']"
Frederick County,"['Clarke County', 'Frederick County', 'Winchester City']",Frederick County,"['Clarke County', 'Frederick County', 'Winchester City']",Frederick County,"['Clarke County', 'Frederick County', 'Winchester City']",Prince William County,"['Manassas City', 'Manassas Park City', 'Prince William County']",Augusta County,"['Augusta County', 'Highland County', 'Staunton City', 'Waynesboro City']",Frederick County,"['Clarke County', 'Frederick County', 'Winchester City']"
